,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211
120,2935771934.0,7.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,5.0,1.0,2.0,11.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,6.0,3.0,1.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,7.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,2.0,8.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,1.0,0.0,2.0,2.0,0.0,9.0,0.0,2.0,0.0,1.0
121,2971298278.0,75.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,126.0,1.0,3.0,1995.0,12.0,104.0,2.0,1.0,7.0,1.0,0.0,3.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,0.0,1.0,7.0,0.0,4.0,15.0,0.0,3.0,18.0,8.0,3.0,5.0,2.0,0.0,4.0,2.0,43.0,1.0,18.0,62.0,8.0,2.0,0.0,0.0,1.0,13.0,5.0,17.0,3.0,23.0,10.0,4.0,1.0,39.0,34.0,0.0,0.0,4.0,2.0,7.0,1.0,2.0,4.0,0.0,24.0,2.0,2.0,1.0,15.0,8.0,1.0,8.0,0.0,15.0,18.0,4.0,4.0,11.0,7.0,5.0,4.0,4.0,13.0,5.0,0.0,0.0,4.0,0.0,1.0,22.0,0.0,9.0,1.0,22.0,2.0,27.0,6.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,3.0,1.0,18.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,6.0,34.0,0.0,51.0,7.0,148.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,8.0,1588.0,0.0,6.0,13.0,18.0,160.0,5.0,16.0,0.0,1.0,45.0,0.0,5.0,2.0,64.0,4.0,1.0,4.0,0.0,15.0,0.0,2.0,12.0,0.0,5.0,2.0,0.0,4.0,1.0,7.0,9.0,28.0,0.0,0.0,0.0,62.0,1.0,1.0,8.0,0.0,5.0,17.0,20.0,5.0,21.0,21.0,7.0,6.0,3.0,9.0,5.0,1.0,1.0,5.0,0.0,24.0,1.0,2.0,27.0,0.0,2.0,105.0,0.0,3.0,267.0,12.0,3.0,2.0,53.0,2.0,3.0,2.0,0.0,5.0,3.0,8.0
122,3024837799.0,17.0,0.0,5.0,30.0,3.0,0.0,0.0,1.0,31.0,0.0,0.0,33.0,7.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,38.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,30.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,8.0,0.0,14.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,11.0,0.0,9.0,0.0,7.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,2.0,3.0,6.0,0.0,12.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,23.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,5.0,0.0,16.0,5.0,2.0,4.0,0.0,2.0,6.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,0.0,5.0,6.0,18.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,6.0,26.0,11.0,4.0,0.0,36.0,11.0,2.0,1.0,0.0,35.0,2.0,2.0
123,30394522.0,22.0,0.0,7.0,15.0,4.0,2.0,0.0,4.0,69.0,1.0,5.0,103.0,9.0,44.0,2.0,0.0,0.0,12.0,0.0,10.0,4.0,4.0,6.0,0.0,2.0,7.0,0.0,0.0,1.0,6.0,0.0,6.0,15.0,1.0,6.0,45.0,9.0,1.0,15.0,3.0,2.0,0.0,2.0,80.0,0.0,24.0,1.0,19.0,3.0,0.0,1.0,9.0,25.0,15.0,41.0,1.0,16.0,10.0,9.0,2.0,47.0,81.0,0.0,10.0,6.0,0.0,20.0,4.0,39.0,6.0,0.0,28.0,2.0,1.0,1.0,17.0,12.0,5.0,8.0,0.0,32.0,6.0,12.0,1.0,34.0,5.0,2.0,9.0,5.0,21.0,20.0,0.0,0.0,3.0,0.0,1.0,59.0,1.0,24.0,1.0,29.0,16.0,18.0,10.0,2.0,0.0,0.0,11.0,0.0,2.0,1.0,9.0,2.0,23.0,10.0,5.0,0.0,5.0,5.0,5.0,34.0,12.0,0.0,1.0,26.0,1.0,40.0,0.0,2.0,0.0,2.0,12.0,0.0,4.0,23.0,65.0,0.0,17.0,13.0,28.0,16.0,11.0,4.0,2.0,12.0,0.0,0.0,9.0,1.0,18.0,7.0,1.0,4.0,1.0,17.0,0.0,9.0,4.0,1.0,10.0,10.0,4.0,17.0,0.0,25.0,12.0,18.0,1.0,0.0,2.0,32.0,4.0,4.0,13.0,0.0,7.0,72.0,17.0,7.0,36.0,0.0,20.0,2.0,5.0,18.0,4.0,3.0,0.0,8.0,0.0,7.0,0.0,3.0,34.0,0.0,1.0,15.0,0.0,6.0,53.0,37.0,10.0,0.0,17.0,5.0,8.0,3.0,0.0,11.0,1.0,5.0
124,306405093.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
125,30669833.0,19.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,91.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,0.0,4.0,0.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,51.0,5.0,26.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,3.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,7.0,0.0,0.0,55.0,0.0,0.0,0.0,31.0,1.0,1.0,1.0,0.0,10.0,0.0,1.0
126,30840707.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,308420780.0,58.0,0.0,3.0,16.0,6.0,2.0,4.0,0.0,132.0,4.0,3.0,209.0,10.0,117.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,7.0,1.0,2.0,19.0,8.0,1.0,11.0,3.0,1.0,1.0,5.0,41.0,2.0,20.0,8.0,3.0,4.0,0.0,2.0,7.0,3.0,14.0,34.0,1.0,18.0,9.0,5.0,2.0,14.0,19.0,0.0,4.0,0.0,0.0,13.0,2.0,1.0,9.0,0.0,21.0,1.0,3.0,2.0,9.0,2.0,2.0,10.0,0.0,3.0,8.0,5.0,2.0,18.0,7.0,0.0,2.0,4.0,9.0,12.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,5.0,3.0,12.0,3.0,28.0,13.0,2.0,0.0,0.0,15.0,0.0,1.0,1.0,1.0,2.0,2.0,12.0,0.0,0.0,9.0,3.0,4.0,148.0,8.0,40.0,0.0,44.0,2.0,0.0,2.0,1.0,0.0,2.0,5.0,0.0,5.0,0.0,213.0,2.0,3.0,14.0,13.0,36.0,5.0,15.0,2.0,3.0,3.0,0.0,5.0,2.0,30.0,0.0,0.0,7.0,0.0,11.0,0.0,4.0,1.0,2.0,9.0,5.0,2.0,8.0,0.0,10.0,7.0,25.0,1.0,0.0,0.0,40.0,0.0,3.0,6.0,1.0,9.0,3.0,23.0,4.0,15.0,4.0,4.0,4.0,2.0,10.0,8.0,3.0,0.0,9.0,0.0,18.0,2.0,3.0,27.0,1.0,1.0,19.0,0.0,8.0,156.0,9.0,5.0,0.0,52.0,6.0,3.0,5.0,0.0,8.0,3.0,4.0
128,310901751.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
129,3188745896.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,7.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,8.0,0.0,10.0,0.0,9.0,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,7.0,6.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0
130,3230555466.0,0.0,0.0,2.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,3.0,18.0,5.0,48.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,21.0,0.0,27.0,2.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,4.0,35.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,15.0,0.0
131,3264114626.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
132,328551761.0,4.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,14.0,6.0,5.0,2.0,0.0,2.0,5.0,0.0,4.0,2.0,5.0,2.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,7.0,1.0,11.0,4.0,3.0,11.0,2.0,1.0,0.0,0.0,14.0,0.0,8.0,1.0,10.0,2.0,0.0,1.0,9.0,25.0,9.0,24.0,5.0,29.0,12.0,5.0,1.0,24.0,26.0,0.0,2.0,4.0,0.0,12.0,5.0,2.0,28.0,0.0,39.0,2.0,5.0,0.0,15.0,6.0,3.0,15.0,0.0,8.0,4.0,1.0,1.0,4.0,10.0,0.0,7.0,4.0,12.0,9.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,13.0,1.0,15.0,2.0,2.0,6.0,1.0,0.0,1.0,6.0,0.0,2.0,1.0,4.0,4.0,14.0,3.0,0.0,0.0,0.0,5.0,5.0,9.0,1.0,12.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,6.0,16.0,0.0,4.0,5.0,21.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,6.0,1.0,0.0,6.0,20.0,0.0,3.0,3.0,1.0,4.0,1.0,11.0,4.0,0.0,11.0,30.0,5.0,3.0,0.0,0.0,16.0,1.0,3.0,6.0,2.0,24.0,15.0,3.0,6.0,28.0,0.0,8.0,4.0,7.0,24.0,3.0,1.0,0.0,19.0,0.0,5.0,0.0,6.0,20.0,0.0,2.0,5.0,0.0,3.0,8.0,12.0,9.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,4.0,3.0
133,32916494.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,3308580440.0,8.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,30.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,10.0,1.0,5.0,1.0,3.0,18.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,8.0,4.0,3.0,8.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,33.0,6.0,11.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0,8.0,1.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,8.0,0.0,1.0,13.0,8.0,4.0,2.0,1.0,0.0,8.0,0.0,43.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0
